dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,single_chain_target,5,58.4,0.30635148430699377,0.11285312062038491,0.551987539648638,3.1720657846433043e-18
BindingDB_Articles_202608,KI,deming_bias_fallback,all,5,1013.2,0.42485664118484434,0.14342242102266786,0.7709981581817631,-0.010845663005684422
BindingDB_Articles_202608,KI,deming_bias_fallback,both_assays_seen,5,948.0,0.4292878671821219,0.14885360565985642,0.7813514360566125,-0.011191815994623799
BindingDB_Articles_202608,KI,deming_bias_fallback,cold_assay_pair,5,676.6,0.5471032631830158,0.16002806792327184,0.8793975435849163,-0.010432852377333952
BindingDB_Articles_202608,KI,deming_bias_fallback,cold_dst_assay,5,46.0,0.32052277195011636,0.16129835153300254,0.4916336828203689,-0.015512827984823174
BindingDB_Articles_202608,KI,deming_bias_fallback,seen_assay_pair,5,336.6,0.16280148495980643,0.032957620287205384,0.4654689107102188,-0.007645388028194993
BindingDB_Articles_202608,KI,deming_bias_fallback,single_chain_target,5,1011.6,0.42517795886473914,0.14305051047119755,0.771545021525188,-0.010861813583533678
BindingDB_Articles_202608,KI,external_somol_gauge,all,5,1013.2,0.3051238060248259,0.0637996247204418,0.542544642623467,-0.0001069905597376888
BindingDB_Articles_202608,KI,external_somol_gauge,both_assays_seen,5,948.0,0.2999133324351543,0.06826287158662427,0.538965145889148,-0.00011378798496987204
BindingDB_Articles_202608,KI,external_somol_gauge,cold_assay_pair,5,676.6,0.3853435966151679,0.05120665214093967,0.6274741264524926,0.0014173012756084156
BindingDB_Articles_202608,KI,external_somol_gauge,cold_dst_assay,5,46.0,0.3369841475878417,0.14610050299323918,0.48862791979098896,-0.0337786320027687
BindingDB_Articles_202608,KI,external_somol_gauge,seen_assay_pair,5,336.6,0.1499617086303632,0.029438861350832048,0.3342673654524053,-0.0024983494980472185
BindingDB_Articles_202608,KI,external_somol_gauge,single_chain_target,5,1011.6,0.30527488473140574,0.06362885102512808,0.54298248557501,-0.00010699055973768847
BindingDB_Articles_202608,KI,external_somol_guarded_stack,all,5,1013.2,0.356921356834942,0.11213320591034816,0.6492849174814432,-0.0037661460425205
BindingDB_Articles_202608,KI,external_somol_guarded_stack,both_assays_seen,5,948.0,0.3552677744757784,0.11906971250318399,0.6527944297836463,-0.0038588428276396373
BindingDB_Articles_202608,KI,external_somol_guarded_stack,cold_assay_pair,5,676.6,0.46602059993015565,0.12414745399325017,0.7628969908430563,-0.003924545639613213
BindingDB_Articles_202608,KI,external_somol_guarded_stack,cold_dst_assay,5,46.0,0.33434923328344984,0.1476675719091091,0.4900878487063852,-0.023870325848359315
BindingDB_Articles_202608,KI,external_somol_guarded_stack,seen_assay_pair,5,336.6,0.13576658809516487,0.025308498376189172,0.3322213575827302,-0.001839081507106236
BindingDB_Articles_202608,KI,external_somol_guarded_stack,single_chain_target,5,1011.6,0.35707243554152185,0.11194878591833987,0.6497227604329863,-0.003766146042520499
BindingDB_Articles_202608,KI,identity_bias,all,5,1013.2,0.4152065602989989,0.15427619537158221,0.7736942085069352,-0.003087584972710236
BindingDB_Articles_202608,KI,identity_bias,both_assays_seen,5,948.0,0.4190701201227661,0.16125230328988027,0.7840339113130825,-0.003279361060226033
BindingDB_Articles_202608,KI,identity_bias,cold_assay_pair,5,676.6,0.545171492076613,0.15946863752879537,0.8793498522805312,-0.005611768419653095
BindingDB_Articles_202608,KI,identity_bias,cold_dst_assay,5,46.0,0.31942430958659457,0.16160006310091882,0.4916091397054069,-0.010691744027142411
BindingDB_Articles_202608,KI,identity_bias,seen_assay_pair,5,336.6,0.14616186640026174,0.0499574282814023,0.4959580524056329,0.0032209572695621274
BindingDB_Articles_202608,KI,identity_bias,single_chain_target,5,1011.6,0.41550716841750035,0.1539344444434806,0.7742542401200831,-0.003087584972710236
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,all,5,1013.2,0.41420014814266093,0.14964635769695797,0.7435065646461989,-0.007782635841935811
